,kinase,kinase_specificity_prior_knowledge,kinase_specificity_prior_curated
1,CAMKK2,Dual,SerThr
2,CLK1,Dual,SerThr
3,CLK2,Dual,SerThr
4,CLK3,Dual,SerThr
5,CLK4,Dual,SerThr
6,DSTYK,Dual,SerThr
7,DYRK1A,Dual,SerThr
8,DYRK1B,Dual,SerThr
9,DYRK2,Dual,SerThr
10,DYRK3,Dual,SerThr
11,DYRK4,Dual,SerThr
12,EGFR,Dual,Tyr
13,HIPK1,Dual,SerThr
14,HIPK2,Dual,SerThr
15,HIPK3,Dual,SerThr
16,HIPK4,Dual,SerThr
17,MAP2K1,Dual,SerThr
18,MAP2K2,Dual,Dual
19,MAP2K3,Dual,Dual
20,MAP2K4,Dual,Dual
21,MAP2K5,Dual,SerThr
22,MAP2K6,Dual,Dual
23,MAP2K7,Dual,Dual
24,MELK,Dual,SerThr
25,NEK1,Dual,SerThr
26,PBK,Dual,SerThr
27,PRKCD,Dual,SerThr
28,PTK2B,Dual,Tyr
29,RIPK2,Dual,SerThr
30,RPS6KA5,Dual,SerThr
31,STK16,Dual,Dual
32,SYK,Dual,Tyr
33,TTBK1,Dual,SerThr
34,TTK,Dual,SerThr
35,ABL1,Tyr,Tyr
36,ABL2,Tyr,Tyr
37,ALK,Tyr,Tyr
38,AXL,Tyr,Tyr
39,BLK,Tyr,Tyr
40,BMX,Tyr,Tyr
41,BTK,Tyr,Tyr
42,CSF1R,Tyr,Tyr
43,CSK,Tyr,Tyr
44,DDR1,Tyr,Tyr
45,DDR2,Tyr,Tyr
46,EPHA1,Tyr,Tyr
47,EPHA2,Tyr,Tyr
48,EPHA3,Tyr,Tyr
49,EPHA4,Tyr,Tyr
50,EPHA5,Tyr,Tyr
51,EPHA6,Tyr,Tyr
52,EPHA7,Tyr,Tyr
53,EPHA8,Tyr,Tyr
54,EPHB1,Tyr,Tyr
55,EPHB2,Tyr,Tyr
56,EPHB3,Tyr,Tyr
57,EPHB4,Tyr,Tyr
58,ERBB2,Tyr,Tyr
59,ERBB3,Tyr,Tyr
60,ERBB4,Tyr,Tyr
61,FER,Tyr,Tyr
62,FES,Tyr,Tyr
63,FGFR1,Tyr,Tyr
64,FGFR2,Tyr,Tyr
65,FGFR3,Tyr,Tyr
66,FGFR4,Tyr,Tyr
67,FGR,Tyr,Tyr
68,FLT1,Tyr,Tyr
69,FLT3,Tyr,Tyr
70,FLT4,Tyr,Tyr
71,FRK,Tyr,Tyr
72,FYN,Tyr,Tyr
73,HCK,Tyr,Tyr
74,IGF1R,Tyr,Tyr
75,INSR,Tyr,Tyr
76,INSRR,Tyr,Tyr
77,ITK,Tyr,Tyr
78,JAK1,Tyr,Tyr
79,JAK2,Tyr,Tyr
80,JAK3,Tyr,Tyr
81,KDR,Tyr,Tyr
82,KIT,Tyr,Tyr
83,LCK,Tyr,Tyr
84,LTK,Tyr,Tyr
85,LYN,Tyr,Tyr
86,MATK,Tyr,Tyr
87,MERTK,Tyr,Tyr
88,MET,Tyr,Tyr
89,MST1R,Tyr,Tyr
90,MUSK,Tyr,Tyr
91,NTRK1,Tyr,Tyr
92,NTRK2,Tyr,Tyr
93,NTRK3,Tyr,Tyr
94,PDGFRA,Tyr,Tyr
95,PDGFRB,Tyr,Tyr
96,PTK2,Tyr,Tyr
97,PTK6,Tyr,Tyr
98,RET,Tyr,Tyr
99,ROS1,Tyr,Tyr
100,SRC,Tyr,Tyr
101,SRMS,Tyr,Tyr
102,TEC,Tyr,Tyr
103,TEK,Tyr,Tyr
104,TNK1,Tyr,Tyr
105,TXK,Tyr,Tyr
106,TYK2,Tyr,Tyr
107,TYRO3,Tyr,Tyr
